,    Under 5 years,Year,    5 to 9 years,    10 to 14 years,    15 to 19 years,    20 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 to 64 years,    65 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,Counties,time_period
United States!!Total!!Estimate,6.3%,,6.5%,6.6%,6.9%,7.2%,6.8%,6.6%,6.2%,6.7%,6.9%,7.2%,6.6%,5.7%,4.4%,3.2%,2.4%,1.9%,1.9%,,
"Contra Costa County, California!!Total!!Estimate",5.9%,,6.7%,6.7%,6.5%,6.1%,6.1%,6.4%,6.6%,6.9%,7.3%,7.6%,6.9%,6.0%,4.8%,3.4%,2.3%,1.7%,1.9%,,
"Contra Costa County, California!!Total!!Estimate",6.4%,,6.9%,7.0%,7.0%,5.8%,6.1%,6.2%,6.7%,7.5%,7.9%,7.6%,6.6%,5.7%,4.0%,2.9%,2.2%,1.7%,1.9%,,
"El Dorado County, California!!Total!!Estimate",4.6%,,6.3%,5.4%,6.4%,5.0%,4.7%,4.8%,5.4%,5.9%,7.2%,7.7%,9.4%,8.0%,7.2%,4.7%,2.5%,2.0%,2.8%,,
"El Dorado County, California!!Total!!Estimate",4.7%,,5.9%,6.2%,6.4%,5.5%,4.7%,5.0%,5.1%,6.0%,7.0%,8.5%,9.0%,7.9%,6.5%,4.4%,2.8%,2.2%,2.0%,,
"El Dorado County, California!!Total!!Estimate",4.5%,,6.3%,6.4%,6.8%,5.8%,4.4%,4.8%,3.9%,7.4%,7.8%,9.1%,8.4%,7.7%,6.2%,3.7%,2.3%,2.4%,2.0%,,
"El Dorado County, California!!Total!!Estimate",5.2%,,6.1%,6.9%,6.9%,5.1%,4.8%,4.8%,5.5%,6.7%,8.5%,9.2%,8.0%,7.5%,5.4%,3.3%,2.5%,1.8%,1.8%,,
"Imperial County, California!!Total!!Estimate",8.0%,,8.0%,8.0%,8.6%,7.8%,7.1%,6.6%,6.2%,6.8%,6.6%,6.3%,5.7%,3.9%,3.2%,2.5%,2.1%,1.6%,1.2%,,
"Imperial County, California!!Total!!Estimate",8.1%,,8.6%,6.8%,8.2%,8.4%,7.1%,6.4%,6.2%,6.9%,6.1%,6.2%,6.7%,3.6%,3.3%,2.5%,2.2%,1.3%,1.4%,,
"Imperial County, California!!Total!!Estimate",8.3%,,8.2%,7.4%,7.7%,8.1%,7.2%,6.8%,6.1%,6.1%,6.0%,5.9%,5.5%,4.7%,3.6%,2.9%,2.2%,1.5%,1.6%,,
"Imperial County, California!!Total!!Estimate",8.3%,,7.7%,7.8%,7.9%,7.8%,7.4%,7.0%,6.0%,5.9%,5.7%,5.5%,5.2%,5.0%,3.7%,3.3%,2.6%,1.4%,1.8%,,
"Calaveras County, California!!Total!!Estimate",4.1%,,5.7%,4.4%,5.8%,4.4%,4.2%,4.2%,3.9%,5.1%,6.5%,7.7%,9.5%,9.3%,9.1%,6.6%,3.9%,3.0%,2.4%,,
"Calaveras County, California!!Total!!Estimate",4.0%,,5.1%,5.8%,6.4%,4.4%,3.9%,3.6%,3.6%,6.5%,7.4%,9.0%,9.4%,9.1%,7.6%,5.5%,3.7%,2.2%,2.5%,,
"Kings County, California!!Total!!Estimate",7.8%,,6.9%,8.5%,6.6%,8.8%,8.7%,7.6%,8.3%,4.6%,7.0%,6.2%,5.1%,4.3%,3.5%,1.9%,1.8%,1.3%,1.1%,,
"Kings County, California!!Total!!Estimate",8.0%,,8.4%,6.7%,7.0%,8.1%,8.9%,8.1%,8.3%,6.1%,6.6%,6.4%,5.4%,3.4%,3.1%,1.7%,1.4%,1.3%,0.9%,,
"Kings County, California!!Total!!Estimate",8.0%,,7.9%,7.3%,7.1%,8.7%,8.7%,7.9%,7.8%,6.0%,6.4%,6.1%,5.2%,4.0%,3.1%,2.2%,1.6%,1.2%,1.1%,,
"Kings County, California!!Total!!Estimate",8.4%,,8.0%,6.9%,7.5%,8.6%,8.6%,7.9%,8.1%,6.5%,7.0%,6.1%,4.8%,3.6%,2.7%,1.9%,1.4%,1.1%,0.9%,,
"Amador County, California!!Total!!Estimate",3.8%,,4.4%,4.4%,5.3%,4.5%,4.4%,5.1%,5.5%,5.3%,7.2%,8.0%,8.3%,9.4%,8.9%,6.3%,3.5%,3.0%,3.0%,,
"Amador County, California!!Total!!Estimate",3.6%,,4.5%,4.9%,6.2%,4.3%,4.3%,4.8%,5.7%,6.1%,8.0%,8.7%,9.9%,8.2%,6.4%,5.6%,3.2%,3.1%,2.5%,,
"Butte County, California!!Total!!Estimate",5.3%,,4.9%,6.3%,7.6%,11.6%,6.2%,5.8%,5.0%,5.2%,5.8%,6.6%,6.7%,6.9%,5.4%,2.9%,2.5%,2.8%,2.2%,,
"Butte County, California!!Total!!Estimate",5.6%,,5.5%,6.0%,7.8%,11.1%,6.3%,5.5%,5.0%,5.6%,6.1%,6.8%,6.8%,6.3%,4.6%,3.4%,2.7%,2.4%,2.4%,,
"Butte County, California!!Total!!Estimate",5.1%,,6.4%,5.4%,7.0%,11.0%,6.6%,5.3%,5.5%,5.1%,5.8%,5.9%,6.8%,6.1%,6.1%,4.4%,2.6%,2.5%,2.5%,,
"Butte County, California!!Total!!Estimate",5.5%,,5.9%,5.4%,7.0%,11.7%,6.3%,5.9%,5.2%,5.2%,5.4%,6.2%,6.8%,6.4%,5.6%,3.9%,2.8%,2.3%,2.5%,,
United States!!Total!!Estimate,6.3%,,6.5%,6.6%,6.9%,7.2%,6.8%,6.6%,6.2%,6.7%,6.9%,7.2%,6.6%,5.7%,4.4%,3.2%,2.4%,1.9%,1.9%,,
"Alameda County, California!!Total!!Estimate",6.5%,,6.3%,6.0%,6.5%,7.1%,7.6%,7.6%,7.6%,7.5%,7.5%,7.2%,6.3%,5.2%,3.5%,2.5%,2.0%,1.6%,1.7%,,
United States!!Total!!Estimate,6.1%,,6.3%,6.4%,6.7%,6.9%,7.0%,6.7%,6.5%,6.1%,6.5%,6.8%,6.7%,6.1%,5.2%,3.7%,2.6%,1.8%,1.9%,,
"Alameda County, California!!Total!!Estimate",6.1%,,6.1%,5.9%,5.9%,6.7%,7.9%,8.1%,7.3%,7.5%,7.0%,7.0%,6.5%,5.5%,4.3%,2.9%,2.0%,1.5%,1.7%,,
"Alpine County, California!!Total!!Estimate",4.3%,,4.9%,6.3%,10.9%,6.8%,5.0%,4.0%,4.5%,6.7%,3.5%,7.4%,8.0%,6.9%,8.5%,4.1%,2.5%,4.5%,1.1%,,
"Alpine County, California!!Total!!Estimate",5.0%,,8.0%,3.6%,9.1%,7.4%,2.9%,4.2%,3.0%,10.4%,6.4%,7.9%,12.1%,7.7%,4.0%,3.3%,3.2%,1.4%,0.4%,,
"Merced County, California!!Total!!Estimate",8.1%,,8.6%,8.1%,8.4%,7.9%,7.7%,6.7%,5.9%,6.3%,5.6%,5.8%,5.1%,5.0%,3.7%,2.5%,1.7%,1.4%,1.5%,,
"Merced County, California!!Total!!Estimate",8.3%,,8.4%,8.9%,9.1%,8.6%,6.8%,6.5%,6.8%,5.7%,5.9%,5.9%,5.0%,4.2%,3.6%,2.2%,1.9%,1.3%,1.0%,,
"Merced County, California!!Total!!Estimate",8.1%,,8.5%,8.5%,8.7%,8.1%,7.3%,6.8%,6.2%,6.1%,5.8%,5.8%,5.3%,4.3%,3.5%,2.5%,1.9%,1.3%,1.2%,,
"Merced County, California!!Total!!Estimate",8.6%,,8.4%,8.8%,9.4%,8.0%,7.1%,6.6%,6.4%,6.2%,6.3%,5.8%,4.9%,3.9%,3.1%,2.2%,1.8%,1.3%,1.1%,,
"Mono County, California!!Total!!Estimate",6.2%,,5.7%,7.0%,5.5%,7.4%,8.2%,6.8%,6.6%,8.1%,7.3%,8.0%,7.1%,6.6%,4.8%,1.6%,1.6%,0.5%,1.0%,,
"Mono County, California!!Total!!Estimate",4.4%,,6.0%,7.0%,4.6%,12.0%,3.7%,8.2%,5.2%,6.3%,5.7%,9.3%,8.7%,5.9%,3.9%,4.7%,1.7%,1.6%,1.3%,,
"Mariposa County, California!!Total!!Estimate",4.1%,,4.4%,4.6%,5.5%,4.7%,4.7%,5.2%,4.9%,4.4%,6.1%,8.2%,8.8%,9.6%,9.1%,6.1%,4.4%,3.7%,1.6%,,
"Mariposa County, California!!Total!!Estimate",4.1%,,4.0%,6.1%,4.9%,4.4%,4.7%,4.9%,4.7%,5.5%,7.7%,10.0%,9.8%,8.1%,7.7%,4.7%,4.2%,3.1%,1.5%,,
